#RUN EVENT Ctrk(Sump) Ctrk(N) Ecal(SumE) Hcal(SumE) Comment
5227 1176	84.7 	6	1.4		2.4 	MUON
5227 1326	89.5 	2	1.6		13.4	MUON
5227 1396	98.2 	2	2.6		9.9 	MUON
5227 1384	105.1	2	1.8		6.6 	MUON
5227 1577	84.1 	2	5.4		13.8	MUON
5227 1851	88.1 	2	1.5		3.5 	MUON
5227 2295	119.1	2	2.1		6.2 	MUON
5227 2443	87.3 	4	5.3		30.3	MUON
5227 2762	87.7 	2	3.0		9.3 	MUON
5227 2911	87.0 	2	1.8		10  	MUON
5227 3092	93.0 	2	1.3		2.6 	MUON
5527 3112	80.9 	2	3.1		4.7 	MUON
5227 3167	92.3 	4	1.7		5.5 	MUON
5227 3245	89.0 	2	3.1		5.3 	MUON
5227 3439	93.4 	2	1.7		1.8 	MUON
5227 3595	94.3 	7	1.3		3.9 	MUON
5227 3862	86.5 	2	6.2		44.7	MUON
5227 3981	90.3 	2	2.5		18.8	MUON
5227 4168	83.2 	2	1.8		4.9 	MUON
5227 4196	96.1 	2	1.8		10.7	MUON
5227 5057	92.6	2	2.3		11.3	MUON
5227 5397	87.3	2	10.6	9.7		MUON
5227 5536	106.1	2	2.2		9.8		MUON
5227 6116	92.7	2	1.6		7.2		MUON
5227 6173	29.0	2	3.2		0.5		MUON
5227 6358	82.8	2	1.7		5.3		MUON
5227 6709	84.1	4	9.0		1.3		MUON
5227 7097	90.5	2	1.3		9.1		MUON
5227 7740	98.8	2	2.1		3.4		MUON
5227 7956	95.0	4	4.0		5.4		MUON
5227 8028	88.5	2	3.6		10.0	MUON
5227 8360	89.1	2	5.1		2.4		MUON
5227 8543	93.7	2	1.9		1.8		MUON
5227 9214	91.9	4	2.3		7.3		MUON
5227 9799	93.9	2	1.9		7.1		MUON
5227 9825	92.8	3	3.5		2.3		MUON
5227 9918	93.6	2	4.1		0.0		MUON
5227 9981 	83.1	2	2.5		7.3		MUON
5227 10263	92.7	2	2.2		7.3		MUON
5227 11508	92.5	2	1.8		12.2	MUON
5227 13415	107.4	2	2.0		6.9		MUON
5227 13422	90.3	2	2.0		7.5		MUON
5227 13600	97.0	2	3.0		3.4		MUON
5227 13698	81.0	2	8.1		8.7		MUON
5227 14111	88.2	7	1.8		14.2	MUON	
5227 14314	88.7	2	1.2		4.2		MUON
5227 14448	92.1	2	6.8		11.3	MUON
5227 14500	105.3	2	1.7		0.0		MUON
5227 14841	92.5	2	1.2		4.1		MUON
5228 774	92.5	3	3.9		0.0		MUON
5227 523 	77.3	51	42.1	3.0		HADRON
5227 672	54.8	52	39.7	15.8	HADRON
5227 832	50		28	55.7	11.9	HADRON
5227 917	32.0	24	46.7	8.3		HADRON
5227 989	53.3	36	33.2	16.3	HADRON
5227 1140	13.9	28	58.4	5.5		HADRON
5227 1203	40.4	39	58.8	0.6		HADRON
5227 1288	43.3	21	50.8	203.9	HADRON
5227 1455	3.2		30	37.2	3.3		HADRON
5227 1586	293.1	22	52.9	15.7	HADRON
5227 1675	39.8	34	50.7	13.5	HADRON
5227 1837	72.0	39	41.4	25.0	HADRON
5227 1997	66.2	20	23.8	15.9	HADRON
5227 2109	49.7	25	37.8	48.7	HADRON
5227 2205	53.8	25	53.2	17.7	HADRON
5227 2320	13.2	53	51.6	6.0		HADRON
5227 2474	60.2	30	37.8	84.6	HADRON
5227 2658	18.9	37	58.8	9.0		HADRON
5227 2754	60.9	23	53.4	28.4	HADRON
5227 2884	48.7	27	57.0	9.5		HADRON
5227 2995	59.8	9	55.6	23.3	HADRON
5227 3184	58.6	31	43.9	29.4	HADRON
5227 3290	45.3	19	73.2	3.4		HADRON
5227 3473	51.3	33	48.1	35.5	HADRON	
5227 3656	21.9	45	55.6	6.5		HADRON
5227 3762	52.9	27	59.7	22.1	HADRON	
5227 3895	22.5	27	33.4	41.2	HADRON
5227 4046	NULL	41	52.3	28.8	HADRON
5227 4471	67.6	24	50.0	22.8	HADRON
5227 4552	50.9	24	42.9	12.5	HADRON
5227 4716	52.6	40	57.1	2.4		HADRON
5227 4851	79.1	28	37.4	11.7	HADRON
5227 5042	40.7	39	39.4	28.9	HADRON		
5227 5154	60.5	60	44.1	28.3	HADRON	
5227 5344	29.3	21	39.5	20.5	HADRON	
5227 5420	68.2	35	57.9	35.0	HADRON	
5227 5606	31.7	33	48.7	22.6	HADRON	
5227 5730	66.7	24	54.7	12.2	HADRON	
5227 5959	43.9	30	66.8	13.5	HADRON	
5227 6152	29.0	64	68.6	0.0		HADRON	
5227 6281	62.8	48	53.2	22.3	HADRON	
5227 6431	69.2	22	32.5	36.4	HADRON	
5227 6565	74.5	50	50.5	4.4		HADRON	
5227 6749	30.4	24	66.8	8.4		HADRON	
5227 6853	50.9	21	38.6	10.0	HADRON	
5227 7218	57.8	34	50.1	19.4	HADRON	
5227 7343	43.5	36	40.8	15.7	HADRON	
5227 7524	30.3	14	24.6	58.9	HADRON	
5227 7666	64.4	19	57.9	27.2	HADRON	
5227 7808	39.8	18	46.9	33.9	HADRON	
